,은행코드,은행명,bank_code_labeled
944,D02,대백저축은행,18
945,D08,엠에스저축은행,20
946,D02,대백저축은행,18
947,D02,대백저축은행,18
948,D02,대백저축은행,18
949,D02,대백저축은행,18
950,D02,대백저축은행,18
951,D02,대백저축은행,18
952,D02,대백저축은행,18
953,D02,대백저축은행,18
954,D02,대백저축은행,18
955,D02,대백저축은행,18
956,D02,대백저축은행,18
957,020,우리은행,16
958,D02,대백저축은행,18
959,D02,대백저축은행,18
960,D02,대백저축은행,18
961,D02,대백저축은행,18
962,032,부산은행,4
963,D02,대백저축은행,18
964,D02,대백저축은행,18
965,D07,머스트삼일저축은행,8
966,D02,대백저축은행,18
967,D02,대백저축은행,18
968,D02,대백저축은행,18
969,088,신한은행,9
970,D02,대백저축은행,18
971,D02,대백저축은행,18
972,D02,대백저축은행,18
973,D02,대백저축은행,18
974,032,부산은행,4
975,D02,대백저축은행,18
976,D02,대백저축은행,18
977,D08,엠에스저축은행,20
978,D02,대백저축은행,18
979,D02,대백저축은행,18
980,D02,대백저축은행,18
981,D02,대백저축은행,18
982,D05,드림저축은행,17
983,D05,드림저축은행,17
984,D05,드림저축은행,17
985,F05,오투저축은행,32
986,D05,드림저축은행,17
987,D05,드림저축은행,17
988,D05,드림저축은행,17
989,D05,드림저축은행,17
990,D05,드림저축은행,17
991,D05,드림저축은행,17
992,D08,엠에스저축은행,20
993,D05,드림저축은행,17
994,D05,드림저축은행,17
995,D05,드림저축은행,17
996,D05,드림저축은행,17
997,D05,드림저축은행,17
998,D05,드림저축은행,17
999,032,부산은행,4
1000,D05,드림저축은행,17
1001,D05,드림저축은행,17
1002,D05,드림저축은행,17
1003,032,부산은행,4
1004,D05,드림저축은행,17
1005,D05,드림저축은행,17
1006,D08,엠에스저축은행,20
1007,D05,드림저축은행,17
1008,D05,드림저축은행,17
1009,D05,드림저축은행,17
1010,D05,드림저축은행,17
1011,D08,엠에스저축은행,20
1012,D05,드림저축은행,17
1013,D05,드림저축은행,17
1014,D05,드림저축은행,17
1015,D05,드림저축은행,17
1016,011,농협은행,10
1017,D05,드림저축은행,17
1018,D05,드림저축은행,17
1019,D05,드림저축은행,17
1020,D05,드림저축은행,17
1021,D05,드림저축은행,17
1022,D05,드림저축은행,17
1023,032,부산은행,4
1024,D05,드림저축은행,17
1025,D05,드림저축은행,17
1026,D05,드림저축은행,17
1027,D05,드림저축은행,17
1028,D07,머스트삼일저축은행,8
1029,D05,드림저축은행,17
1030,D05,드림저축은행,17
1031,D05,드림저축은행,17
1032,032,부산은행,4
1033,D05,드림저축은행,17
1034,D05,드림저축은행,17
1035,D05,드림저축은행,17
1036,D05,드림저축은행,17
1037,D05,드림저축은행,17
1038,011,농협은행,10
1039,D05,드림저축은행,17
1040,D05,드림저축은행,17
1041,D05,드림저축은행,17
1042,D05,드림저축은행,17
1043,D05,드림저축은행,17
1044,D05,드림저축은행,17
1045,D05,드림저축은행,17
1046,D08,엠에스저축은행,20
1047,D07,머스트삼일저축은행,8
1048,D05,드림저축은행,17
1049,D05,드림저축은행,17
1050,D08,엠에스저축은행,20
1051,D05,드림저축은행,17
1052,D07,머스트삼일저축은행,8
1053,D07,머스트삼일저축은행,8
1054,D07,머스트삼일저축은행,8
1055,D07,머스트삼일저축은행,8
1056,D07,머스트삼일저축은행,8
1057,D07,머스트삼일저축은행,8
1058,D07,머스트삼일저축은행,8
